Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
TRAK 2009.2539        -1.588         3.068        -5.295   1.384   1.328   6.181
TRAK 2010.2587        -0.344        -3.573        -3.799   1.216   1.104   4.781
TRAK 2011.3892        -1.935        -6.614        -7.394   1.053   0.937   4.069
TRAK 2019.0746         4.407         1.134        -2.881   0.978   0.896   3.694
TRCP 2014.6858         4.978         3.237         2.405   1.065   0.841   3.431
TRDS 2007.3484         2.173         2.304        -4.222   0.753   0.526   2.337
TREV 2008.1451        -0.416        -0.571         5.200   1.715   1.308   5.570
TRLK 2014.3792        -0.151         1.231        -5.270   1.109   0.873   3.606
TRLK 2016.3012        -0.311         3.330       -93.576   1.273   1.028   4.131
TRND 2002.7543         1.290         2.699         5.732   1.080   0.838   3.749
TRND 2004.3888         0.055        -5.266        -4.797   1.220   0.951   4.099
TRND 2005.4593        -1.127        13.087        -2.729   1.109   0.863   3.629
TRND 2010.0835        -4.165        -1.361         0.766   0.937   0.717   2.930
TRND 2011.6851        -1.617        -2.531         0.185   0.942   0.717   2.937
TRND 2013.3196        -2.197        -6.653         4.272   1.110   0.863   3.540
TRND 2014.1875        -0.801        13.152        -6.570   1.097   0.858   3.524
TRND 2019.1211         4.405        -2.494        -5.514   1.046   0.818   3.218
TRNG 2005.0267         1.418         6.515         1.054   1.048   0.884   3.452
TRNG 2006.1574        -2.684         2.642        -0.196   0.958   0.801   3.164
TRNG 2013.7933         1.053        -4.098         1.371   0.798   0.679   2.621
TRNG 2016.8706         4.130         0.639        -3.144   0.872   0.731   2.863
TRO1 1998.9733        -2.364        -5.275        -3.953   1.804   1.234   6.193
TRO1 2000.3915         3.743         3.040        -1.363   1.315   0.946   4.567
TRO1 2001.3361         1.720         1.954         1.340   1.381   0.985   4.851
TRO1 2002.2587         0.261         3.454        -0.685   1.173   0.829   4.144
TRO1 2004.5339        -4.650        -8.814         5.162   0.816   0.586   2.897
TRO1 2007.6441         1.884         1.168        -4.838   0.713   0.528   2.537
TRO1 2010.5683        -1.879         4.502         7.221   0.773   0.581   2.734
TROY 2000.3395        -0.129        -5.103         1.432   1.965   1.609   6.953
TROY 2002.0945         1.009        -0.577         7.110   0.998   0.812   3.447
TROY 2004.4463        -1.029        -4.218        -7.548   1.142   0.923   3.911
TSEA 2000.1451        -6.865         2.219         0.613   2.381   1.616   7.157
TSEA 2000.6407        -3.025         2.150         3.927   2.534   1.705   7.612
TSEA 2001.0240        -1.291         5.657        -8.305   2.236   1.490   6.679
TSEA 2002.8528       -11.166       -15.967        -6.906   1.638   1.104   4.971
TSEA 2004.3915         0.951        -3.652         3.254   1.636   1.108   5.006
TSEA 2006.3340         3.396        -1.321         0.330   1.835   1.247   5.700
TSEA 2006.9953         1.426        -1.921       -20.889   5.103   3.399  15.945
TSEA 2007.1678        -0.061        -6.769        26.420   4.951   3.297  15.456
TSEA 2009.5496        -5.744        -0.596         4.521   1.350   0.938   4.040
TSEA 2010.7269        -7.516        -0.827         2.427   1.285   0.901   3.855
TSEA 2011.9754        -6.620        -2.357        -4.543   1.265   0.895   3.782
TSEA 2014.3326         3.035         2.296         4.729   1.368   0.955   4.110
TSEA 2018.9516        26.642        -1.212       -27.707   2.586   1.800   7.797
TSEP 2015.9507         5.485        -7.023        17.949   2.383   1.818  10.340
TSK2 2004.6708         0.786        -8.469         0.759   1.177   0.954   3.912
TSK2 2006.7351         1.375        -3.684         0.900   1.175   0.959   3.906
TSK2 2008.4271        -1.828         6.768        -2.353   1.262   1.025   4.216
TSK2 2011.1896        44.364       570.624       -90.147   7.524   5.985  24.407
TSK2 2011.2005       -12.422        49.508         5.117   8.774   6.975  28.397
TSK2 2011.2279        -9.050        34.343        -2.335   6.110   4.864  19.642
TSK2 2011.2635        -7.467        28.645         5.991   5.131   4.119  16.608
TSK2 2011.3210        -7.085        25.313         2.915   4.576   3.741  15.096
TSK2 2011.3785        -6.001        21.616         2.537   4.294   3.565  14.320
TSK2 2011.4552        -4.596        18.113        12.166   3.976   3.342  13.499
TSK2 2011.5318        -4.442        17.540         0.694   3.695   3.118  12.613
TSK2 2011.6441        -3.166        17.594        -7.341   3.548   2.978  11.944
TSK2 2011.7426        -3.167        13.749         1.893   3.627   2.961  12.008
TSK2 2011.8494        -4.299        11.835         0.643   3.371   2.666  10.984
TSK2 2011.9699        -4.296        12.819         4.371   3.264   2.579  10.573
TSK2 2012.0792        -8.307        12.998         3.121   3.617   2.870  11.706
TSK2 2012.2356        -2.514        14.374         4.294   3.385   2.722  11.042
TSK2 2012.4298        -1.303        15.087         7.347   2.824   2.314   9.421
TSK2 2012.5914        -0.935        12.908        -0.793   2.653   2.147   8.848
TSK2 2012.8460        -3.514        13.025         2.032   2.387   1.905   7.821
TSK2 2013.0869        -3.721        13.492         2.164   2.272   1.820   7.408
TSK2 2013.3744        -4.206        10.808         4.360   2.439   1.987   8.140
TSK2 2013.5578        -1.687        11.509         4.203   2.361   1.920   7.912
TSK2 2013.9274        -4.205        10.895         2.147   2.162   1.720   7.053
TSK2 2014.1574        -3.070         7.446         0.313   2.357   1.882   7.682
TSK2 2014.4093        -2.081        12.284         6.158   2.389   1.936   7.787
TSK2 2014.7981        -3.024         7.910         4.490   2.231   1.830   7.274
TSK2 2015.0938        -3.092         8.485         1.554   1.996   1.629   6.558
TSK2 2015.4661        -2.434         9.313         5.115   1.920   1.543   6.336
TSK2 2015.9781        -3.574        11.761         3.799   1.718   1.403   5.721
TSK2 2016.5147        -3.148        11.619         7.026   1.665   1.393   5.644
TSK2 2016.9719        -4.590         8.880         1.947   1.710   1.441   5.835
TSK2 2017.4127        -2.682         6.662         1.918   1.708   1.434   5.873
TSK2 2017.8508        -1.920         9.060         6.235   1.623   1.362   5.612
TSK2 2018.4558        -6.366         8.955         3.045   1.610   1.356   5.548
TSK2 2019.0773        -2.255         9.241         2.015   1.551   1.298   5.377
TSK2 2019.8193        -3.256        10.143         7.244   1.764   1.467   6.066
TSKB 1994.1958       -12.209        10.204       -11.312   3.034   2.758  10.934
TSKB 1994.3545         6.050        -9.565        17.974   2.873   2.562  10.327
TSKB 1994.7105        -2.328        -6.654       -10.261   2.041   1.739   7.250
TSKB 1995.3949        -8.206        -0.786       -12.689   1.448   1.237   5.219
TSKB 2000.5558         6.208         6.007        -8.569   1.371   1.184   5.356
TSKB 2002.7543        -5.142        -0.913         1.201   1.181   0.997   4.490
TSKB 2005.9083         2.082         2.361         3.274   1.029   0.862   3.744
TSKB 2008.6133        -0.509        10.447        -1.643   1.092   0.889   3.789
TSKB 2009.5387        -0.508         5.328        -2.676   1.124   0.905   3.849
TSKB 2011.1923        38.200       597.482       -85.717   5.938   4.623  19.461
TSKB 2011.2115       -12.119        47.725         2.095   7.127   5.549  23.300
TSKB 2011.2526        -9.155        35.518         2.710   5.277   4.140  17.314
TSKB 2011.3101        -8.827        31.508         4.330   4.499   3.600  15.023
TSKB 2011.3922        -6.165        26.665         4.127   4.012   3.280  13.694
TSKB 2011.4882        -6.411        25.285        14.815   3.481   2.879  12.046
TSKB 2011.6441        -2.307        23.854       -12.506   3.203   2.647  11.072
TSKB 2011.7837        -5.784        19.222         4.597   3.391   2.742  11.682
TSKB 2011.9261        -5.495        15.689         2.544   3.422   2.700  11.612
TSKB 2012.0575        -4.292        15.215        -1.169   3.111   2.436  10.451
TSKB 2012.2793        -1.401        18.603         6.072   2.777   2.236   9.656
TSKB 2012.4901        -3.655        15.207         2.819   2.961   2.426  10.581
TSKB 2012.6735        -2.112        11.343         0.388   2.966   2.383  10.367
TSKB 2012.8735        -5.622        11.916         4.543   2.829   2.234   9.543
TSKB 2013.0623        -2.741        12.766         1.687   2.544   2.012   8.523
TSKB 2013.3689        -1.242        14.529         3.835   2.443   1.970   8.411
TSKB 2013.6071        -2.475        12.418         3.132   2.437   1.956   8.346
TSKB 2013.9274        -6.848        11.186         2.661   2.302   1.801   7.522
TSKB 2014.1656        -1.221         9.382         2.564   2.275   1.784   7.383
TSKB 2014.4832        -1.151        14.064         5.049   2.032   1.618   6.715
TSKB 2014.8747        -6.279        12.748         2.779   1.813   1.450   5.965
TSKB 2015.3347        -0.114        12.739         5.672   1.755   1.406   5.808
TSKB 2015.7919        -4.892        14.420         4.192   1.626   1.314   5.437
TSKB 2016.4463        -1.646        15.609         6.166   1.509   1.244   5.087
TSKB 2016.9885        -5.555        11.174         3.770   1.652   1.378   5.624
TSKB 2017.4155        -1.582        10.037         2.395   1.656   1.374   5.643
TSKB 2017.9685        -4.286        13.340         6.757   1.505   1.248   5.164
TSKB 2018.8857        -8.327        15.242         2.662   1.837   1.529   6.204
TSKB 2019.2498         2.357         6.564         3.585   1.909   1.579   6.478
TSKB 2019.8193        -3.804         8.574         4.180   1.860   1.521   6.370
TSTU 2011.6824         2.634        -2.260        26.968   1.417   1.001   4.130
TSTU 2012.7529         3.041         3.073        -1.420   1.479   1.041   4.352
TSTU 2015.5744        -6.997        -3.844        -2.887   2.054   1.459   6.140
TSTU 2016.1288       -10.908       -12.982        -6.525   2.108   1.506   6.312
TSTU 2016.8048        -6.013        -2.363        -7.135   1.611   1.167   4.821
TSTU 2017.8110        -1.829        -3.519        -5.937   1.526   1.098   4.555
TSWY 2002.7077         0.253         2.058         7.754   1.157   0.893   3.910
TSWY 2005.0595         0.881        -3.598        -4.329   0.984   0.754   3.370
TSWY 2012.6407        -1.880         1.028         5.964   0.927   0.700   3.154
TTTA 2013.9603        -3.658         4.748        12.850   1.120   1.140   4.350
TUBI 1999.6249      -336.968       541.576       -88.978   4.016   3.246  14.274
TUBI 1999.7098        -6.886        12.353        -3.108   4.615   3.724  16.392
TUBI 1999.8960        -4.522        12.959        -0.769   3.322   2.649  11.577
TUBI 2000.1834        -6.671         8.352        -2.088   2.471   1.948   8.523
TUBI 2000.8405        -3.853         7.561        -1.864   1.819   1.431   6.396
TUBI 2001.6646        -2.408         3.789        -0.871   1.743   1.346   5.978
TUBI 2002.3463        -3.548         3.105        -1.828   1.501   1.144   4.972
TUBI 2003.5921        -1.954         3.907        -1.588   1.203   0.929   3.935
TUBI 2004.6105         0.460         4.237        -1.863   1.085   0.853   3.618
TUBI 2006.4504         0.369         3.703         2.985   0.838   0.676   2.916
TUC2 2010.5382        -1.953         5.502         0.055   1.091   0.979   3.780
TUC2 2013.6071        -2.859        -3.444         0.419   1.139   1.022   3.944
TUCU 2001.7823         0.709         0.326         8.692   1.335   1.305   5.459
TUCU 2006.8802         0.885         2.350       -16.735   1.389   1.411   6.079
TUCU 2010.2806        -5.925        -4.191        -7.523   1.605   1.700   7.799
TUCU 2012.1999        -1.602        -0.184       -10.884   2.017   2.225  10.018
TUKT 2003.9288        -0.868        -5.255        -2.483   2.446   1.728   8.706
TUKT 2004.3942         2.875        -1.284         4.418   1.887   1.334   6.767
TUKT 2005.0157        10.983         1.329        -7.733   2.312   1.648   8.268
TUKT 2005.2457       -11.504        -4.234         5.764   2.086   1.487   7.480
TUKT 2007.0746        -1.137        -2.644         1.706   1.140   0.828   4.031
TUKT 2007.9726        -2.229        -4.187        -2.238   1.076   0.783   3.785
TUKT 2012.7420        -3.227        13.668        -4.630   1.569   1.116   5.631
TUKT 2013.1006         0.116        -4.252         3.333   1.632   1.159   5.845
TUNG 1999.4141        -2.310        -1.776         1.549   0.946   0.777   3.505
TUNG 2002.6940         1.435         3.735         6.744   0.990   0.802   3.683
TUNG 2004.4353         0.006        -3.481        -7.964   1.110   0.895   4.057
TUNG 2005.9245         2.375        -1.786        -6.143   1.021   0.820   3.696
TUNG 2015.9836         1.270        -0.377        -7.562   0.861   0.695   3.106
TUVA 2004.5667         2.378         6.089         0.481   0.823   0.993   3.657
TUVA 2009.8398        -5.716         1.230         2.922   0.753   0.903   3.358
TUVA 2012.1122        -2.037         4.141        -0.398   0.795   0.950   3.496
TUVA 2017.8567         4.191        -3.609         3.395   0.885   1.048   3.858
TUVA 2018.6913         6.657        -2.939         2.431   1.435   1.695   6.292
TWHL 2001.9480        34.133         3.822       -23.726   1.827   1.318   5.823
TWHL 2002.6502        -0.256         0.631         6.673   1.528   1.058   4.559
TWHL 2004.3751        -1.332        -5.720        -4.141   1.139   0.788   3.321
TWHL 2009.5962        -3.389        -0.979        -1.606   1.070   0.731   3.079
TWHL 2012.6023         0.021         3.191         2.800   0.993   0.671   2.859
TWHL 2014.4613        -1.742        -1.465         3.628   1.156   0.778   3.346
TWHL 2015.9781         0.593        -1.183        -4.356   1.159   0.787   3.355
TWIW 2017.8344         4.144         3.177       -10.407   1.197   0.906   3.879
TWMS 2002.7515         2.880         3.112         9.859   1.107   0.991   4.213
TWMS 2004.3778         0.960        -4.105        -6.327   0.989   0.891   3.830
TWMS 2008.5749         3.212         3.480         6.562   1.208   1.095   4.824
TWMS 2017.0198         2.545         0.403        -2.747   0.965   0.901   3.968
TWRI 2011.0773       -16.284         3.891        -3.614   2.480   2.038   8.789
TWRI 2011.6824        -7.683        -4.229        41.712   2.141   1.730   7.485
TWRI 2012.5915        29.932      -304.671        58.241   1.683   1.321   5.572
TWTF 2002.2532        -8.858         4.326        -8.952   1.889   1.837   7.909
TWTF 2002.8090        -1.683         1.196        -8.134   1.737   1.655   7.199
TWTF 2003.2936        -1.330        -0.452        -1.691   1.825   1.773   7.579
TWTF 2003.7207         2.150         2.337        -9.578   1.479   1.457   6.166
TWTF 2005.2950        -6.815        -3.574         1.069   0.945   0.956   3.816
TWTF 2007.3320        -2.837         0.935         5.805   1.153   1.197   4.685
TWTF 2007.9398         0.720         2.742         7.122   1.622   1.678   6.547
TWTF 2008.2628        -0.907        -1.320         6.697   1.470   1.506   5.894
TWTF 2009.2758         2.986        -4.079        -2.726   0.967   0.979   3.905
TWTF 2011.8522         3.857         1.305         5.759   0.912   0.923   3.742
TWTF 2013.3443       -68.849         5.179        -0.504   1.977   1.982   8.169
TWTF 2013.5031        50.218        11.544         0.822   2.644   2.678  10.974
TWTF 2013.6564        20.845        -9.952        -3.414   3.697   3.832  15.246
TWTF 2013.7057         1.549        -3.134        -4.640   3.291   3.419  13.527
TWTF 2014.6365        -0.635        -2.800       -10.730   1.082   1.093   4.475
TWTF 2016.2327         1.638        -5.619        -9.397   1.144   1.146   4.728
UACO 2018.0563         3.402        -2.086         3.320   1.047   1.072   4.117
UCLP 1995.0171       -19.271       -14.047         0.629   3.172   2.842  12.202
UCLP 1995.7235         1.006         0.312         5.738   1.252   1.147   4.865
UCLP 1998.2204        -1.384        -0.171        -6.508   0.998   0.914   3.846
UCLP 1999.7344         3.552        -2.051         4.995   0.987   0.884   3.665
UCLP 2001.7686         2.254         0.611         3.345   1.057   0.925   3.888
UCLP 2002.7515         1.437         2.848         4.360   1.075   0.942   3.953
UCLP 2004.4463        -1.396        -1.933        -7.781   1.085   0.954   3.954
UCLP 2005.3114        -0.943        -1.163        -2.562   1.031   0.903   3.748
UCLP 2010.1793         0.095        -2.836        -2.524   0.841   0.733   3.128
UCLP 2012.7474         3.036         1.779         4.304   0.865   0.748   3.202
UCLU 1997.3580         0.500        -2.621         1.183   1.039   0.738   3.172
UCLU 2000.4191         3.668        -0.535       -12.973   1.211   0.854   3.721
UCLU 2001.6646         0.237        -0.383         7.767   1.441   1.001   4.337
UCLU 2002.6502        -0.097         2.068        10.332   1.365   0.944   4.090
UCLU 2004.3751         0.442        -4.176        -0.187   1.100   0.762   3.312
UCLU 2007.2307         4.676         1.417        -3.642   1.085   0.760   3.277
UCLU 2013.5825        -2.976         1.281         4.281   1.107   0.775   3.376
UCLU 2018.2206         2.085        -3.999        68.759   1.593   1.177   4.842
UCLU 2018.5626        -0.800         3.142       -72.986   2.761   2.041   8.313
UCLU 2018.6940         1.236         3.495        -4.360   2.438   1.799   7.321
UCOM 2011.5346         4.315         6.734         1.687   1.574   1.718   7.246
UCSB 2001.8015        -2.626         2.221         1.055   1.030   0.960   4.256
UCSB 2002.8172         0.817         3.745         2.838   1.094   1.022   4.542
UCSB 2004.3915        -2.857        -3.641        -9.032   0.945   0.861   3.840
UCSB 2010.4285         0.270        -1.547       -10.282   0.978   0.886   3.991
UCSF 2011.7289        -4.756        -1.421         7.969   1.024   0.796   3.381
UCSF 2013.7002        -0.065         0.191         7.591   0.938   0.723   3.051
UCSF 2016.1889         1.200         0.714        -4.096   1.012   0.793   3.282
UDEC 2010.5435         0.695       -18.634        -0.857   3.481   3.038  11.587
UDEC 2010.6721        -0.174       -17.652         0.868   3.209   2.715  10.528
UDEC 2010.7762        -0.353       -14.932         1.719   3.206   2.690  10.453
UDEC 2010.8994        -0.895       -15.298        -2.270   3.084   2.634  10.134
UDEC 2011.0198         1.781       -14.102        -1.484   3.038   2.658  10.131
UDEC 2011.1430         1.299       -11.677        -4.908   2.912   2.596   9.818
UDEC 2011.2799        -2.447       -12.192        -1.181   2.685   2.410   9.037
UDEC 2011.4606         0.465       -12.564        -4.189   2.440   2.173   8.148
UDEC 2011.6742         1.124       -12.917         0.661   2.366   2.064   7.804
UDEC 2011.9233         1.008       -13.145        -3.322   2.183   1.888   7.205
UDEC 2012.2656        -1.287       -12.674        -1.644   1.889   1.652   6.291
UDEC 2012.6626         1.050       -11.895        35.451   2.048   1.772   6.756
UDEC 2012.8953         3.585        -7.919        -2.918   2.018   1.738   6.656
UDEC 2013.3634         0.353        -5.567        -0.726   1.799   1.560   5.922
UDEC 2013.7139         2.922        -9.130         1.274   1.571   1.361   5.138
UDEC 2014.8474         3.070        -4.022         2.534   1.406   1.203   4.581
UDEC 2017.2676         1.197         6.219        -1.170   1.386   1.149   4.474
UDEC 2018.1465         4.151         6.954         2.997   1.265   1.052   4.104
UFDA 2008.4545        -0.182         5.848         5.179   1.704   1.174   4.800
UFDA 2013.3171        -2.467         1.970         4.999   1.213   0.854   3.696
UFDA 2018.4723         1.500         2.956       102.998   1.101   0.789   3.279
UFPR 2010.2288        -4.261        -3.607        -3.969   0.823   0.791   3.375
UFPR 2018.6258         0.808        -2.714         8.638   0.818   0.815   3.386
UH01 2014.9952         3.266         0.051         0.742   0.974   0.924   3.573
ULAB 2011.7296        18.591       -12.834        11.301   1.001   0.734   3.054
ULAB 2012.8569        -4.693        -9.149        -9.064   2.099   1.549   6.389
ULAB 2013.0486         7.993         9.774         6.667   1.998   1.473   6.073
ULAB 2018.7189       -12.015        18.385        -2.279   1.921   1.352   5.614
ULDI 2019.7509         2.407         1.385         5.858   1.483   1.443   5.857
UNB1 2006.4011        -1.089        -0.571         6.462   2.354   1.818   7.794
UNB1 2006.6256        -1.123        -1.197       221.140   4.504   3.465  14.457
UNFE 2009.3388        -3.031        -0.409         2.123   1.489   1.166   4.639
UNIV 2004.9528        -0.114        -2.385        -2.830   0.889   0.705   2.897
UNIV 2015.0171         2.678         1.485        -4.362   1.024   0.833   3.342
UNPG 1998.8857         0.629         0.033       -15.496   2.130   1.584   7.303
UNPG 2000.1068         0.053        -1.445         8.649   1.328   1.005   4.374
UNPG 2002.3847        -8.054         0.265        -1.992   0.904   0.707   2.893
UNPG 2006.3000        10.407        -4.926         3.463   0.801   0.649   2.507
UNPG 2016.8296         0.870        -6.739         0.377   1.278   1.024   4.096
UNPG 2017.3945         0.889         7.520       -23.473   1.488   1.179   4.680
UNPG 2018.5407        -3.364        -3.122        21.838   1.412   1.111   4.328
UNPM 2018.0287         4.313        -1.168         1.496   0.775   0.816   3.253
UNSA 2001.0075        -0.979         6.092         5.460   1.507   1.716   7.320
UNSA 2003.0335         0.823         3.704        -5.287   1.781   2.037   9.193
UNSA 2004.0821        -2.804         5.371        -5.972   1.542   1.755   7.750
UNSA 2006.9487         1.082         4.704        -3.111   1.032   1.185   4.661
UNSA 2008.9884         3.286        -6.546         4.581   1.055   1.241   4.814
UNSA 2010.1602        -4.588       -11.712         0.384   1.017   1.205   4.711
UNSA 2011.8768        -0.640        -2.360        -1.880   1.064   1.286   5.085
UNSA 2015.3768        -6.140       -15.547         6.397   1.162   1.377   5.549
UNSA 2016.7228        -2.194         0.508         8.572   1.114   1.287   5.422
UNTR 2012.1461         3.980         0.295         6.355   1.358   1.099   4.245
UNTR 2016.8415       -14.642       -24.308        -3.202   1.366   1.093   4.212
UPAD 1997.8344        -2.269         3.312        18.383   1.796   1.320   5.801
UPO1 1999.4935         4.822         9.106        -5.070   1.247   1.312   5.337
UPO1 2002.3025         1.870        14.182         0.212   1.379   1.443   5.839
UPO1 2004.3559         1.437         7.597         3.405   1.190   1.248   5.075
UPO1 2005.3717        -2.730        11.367         0.355   1.176   1.246   5.053
UPO1 2008.0426        14.998         3.195       102.456   5.500   6.273  23.985
UPSA 1999.4179        -0.447        -3.174         2.125   1.172   0.969   4.182
UPSA 2002.7105         1.792         2.292         6.289   0.930   0.757   3.228
UPSA 2004.3751        -0.015        -3.363        -4.057   1.429   1.160   4.794
UPSA 2004.8652         0.348        -1.316        -4.033   1.344   1.088   4.479
UPSA 2016.9637         0.028        -1.810        -5.278   0.860   0.679   2.641
UPSA 2019.1622         0.145        -4.244        -8.103   1.038   0.823   3.172
UPTC 2002.8282        -1.988         1.481         4.043   1.092   0.889   3.811
URIL 2019.2692        -2.535        -5.666        -9.598   2.632   2.247   8.260
URUM 1999.6449         2.423        -2.707       -11.181   1.537   1.186   5.104
URUM 2001.4264         3.241        -1.354         6.721   1.405   1.058   4.088
URUM 2001.9986         3.947        -4.410         2.029   1.421   1.074   4.144
URUM 2005.6703         6.125        -0.940       -17.278   1.311   1.009   3.889
URUM 2006.9514        -6.316        -0.123        11.298   1.612   1.235   4.763
URUM 2007.3456       -11.055         4.038        28.640   2.780   2.127   8.439
URUM 2007.4634        32.012      -131.731       -17.241  18.298  14.960  57.850
URUM 2007.4661       -15.871       125.657       -30.669  18.159  14.861  57.434
URUM 2008.7151        -9.872         2.988        52.647   1.106   0.867   3.331
URUM 2010.7324         0.560         2.211        -4.915   1.061   0.824   3.197
URUM 2013.2074         5.856         1.542         2.348   1.075   0.833   3.240
URUM 2015.2608        -5.248        -3.774         3.953   1.091   0.853   3.319
URUM 2016.8350        -5.081        -2.022        -0.048   1.139   0.870   3.419
URUM 2017.8373       -14.601         4.301        16.383   1.732   1.315   5.159
URUM 2018.1410         3.068        -3.495         9.132   2.008   1.535   6.028
URUM 2018.6338         6.733       -12.891       -51.114   1.944   1.494   5.841
USAL 2017.8563        -2.467        -6.440        78.376   1.098   0.886   3.601
USAL 2018.6639         0.710         4.319       -81.427   1.136   0.920   3.771
USC1 1995.8439         2.525        -1.216         5.650   1.463   1.286   6.067
USC1 1997.7002         2.521        -1.143       -13.681   1.285   1.116   5.347
USC1 1999.7837         2.748        -3.580         3.710   1.166   0.979   4.575
USC1 2002.1027        -1.923        -0.657         7.105   1.611   1.315   6.388
USC1 2002.7543         0.884         3.750         7.036   1.679   1.364   6.632
USC1 2004.3723        -2.210        -3.044        -2.230   1.885   1.530   7.314
USC1 2004.8049        -0.334         0.331        -6.600   1.852   1.511   7.184
USC1 2009.4593        -2.984        -3.000        -0.081   1.314   1.103   5.264
USC1 2012.6023        -2.916        -1.755         8.720   1.572   1.311   6.357
USC1 2013.2156         5.837         1.957        -7.505   1.564   1.319   6.416
USGC 1999.7987         5.446         5.500         4.664   3.669   3.130  12.674
USGC 2001.7796         1.135         2.268         3.356   1.133   1.000   3.968
USGC 2002.7515         2.182         2.656         5.056   1.008   0.887   3.508
USGC 2004.4408         0.894        -4.196        -7.155   0.908   0.788   3.118
USGC 2010.2587       -22.617        -3.504         5.457   0.975   0.823   3.304
USGC 2011.2033        -4.850         0.213         1.958   1.071   0.890   3.623
USGC 2012.2437        -3.224        -0.474         2.011   0.943   0.782   3.203
USGC 2014.0671        -2.634         0.027         2.591   0.874   0.734   2.968
USGC 2015.7674         3.440        -3.196        -0.658   0.888   0.759   3.013
USLO 2002.7515         0.702         3.921         9.581   1.055   0.877   4.073
USLO 2003.9726         6.722        -0.090        -2.740   1.636   1.369   6.332
USLO 2004.3751        -0.169        -3.581        -3.642   2.059   1.708   7.918
USLO 2004.7420         5.269         0.341        -5.107   1.595   1.308   6.078
USLO 2006.9843         2.226         0.094         1.025   0.807   0.666   3.044
USLO 2012.3641        -0.089         0.751         7.330   0.873   0.717   3.281
USMX 2017.5359        -0.772        -0.950        -4.501   0.739   0.689   2.811
USN3 2014.8802        82.457      -105.848      1538.302  15.926  13.245  52.106
USNA 2001.8809         0.953        -3.453        10.298   1.180   0.981   4.217
USNO 2010.4038        -1.058        -0.139         5.446   0.882   0.729   3.212
USUD 1994.4914         4.339         1.529        34.495   2.325   2.109   9.306
USUD 1994.7105        -3.115       -10.839       -18.771   2.243   2.012   8.979
USUD 1998.0178        -0.035        -2.311        44.000   3.395   3.203  14.212
USUD 1998.1164         7.511        -1.344       -33.522   3.400   3.208  14.238
USUD 2004.6817       -15.100        -5.741        -0.251   0.978   0.888   3.991
USUD 2011.1896        49.057       225.695         5.739   6.533   5.844  26.178
USUD 2011.2060         8.273        36.416        10.916   6.910   6.189  27.687
USUD 2011.3320         6.068        33.471         8.581   3.035   2.773  12.339
USUD 2011.5236         5.984        31.467         6.013   2.428   2.235  10.041
USUD 2011.8713         3.325        25.050         3.355   2.004   1.815   8.180
USUD 2012.2656         4.863        22.463         6.415   2.046   1.860   8.370
USUD 2012.5695         3.207        17.749         6.921   1.953   1.775   8.044
USUD 2013.1143         2.026        20.237         7.851   1.942   1.708   8.222
USUD 2013.5524         2.403        16.731         5.719   2.072   1.768   8.827
USUD 2014.1218         4.297         9.947        40.998   4.439   3.762  18.360
USUD 2014.1875        -0.043        10.823       -39.104   4.401   3.735  18.233
USUD 2014.9651       -11.414         8.253        54.200   2.711   2.301  11.548
USUD 2015.1430        15.859         6.171       -50.136   3.171   2.681  13.521
USUD 2015.3812         2.998        13.352         5.342   2.379   2.010  10.219
USUD 2016.1615         4.336        15.916         5.958   1.633   1.446   7.217
USUD 2016.8706         0.683        13.338         9.481   1.664   1.523   7.511
USUD 2017.5168         3.499        14.035         1.870   1.540   1.415   6.985
USUD 2018.5216         2.850        14.162         5.609   1.558   1.425   7.031
USUD 2019.2498         4.934        12.545         2.941   1.562   1.417   6.956
UVFM 2003.6961        -3.353         3.951        -5.195   1.013   0.827   3.706
UZHL 2010.8337        -4.771        -4.387       -13.334   1.152   0.875   3.887
UZHL 2013.0842        -0.694        -3.145       -11.969   2.317   1.766   7.546
UZHL 2013.8641        -2.533         9.370        21.493   2.289   1.740   7.461
VAAS 2012.0055        -1.272        -2.208        24.568   2.677   1.839   9.092
VAAS 2012.1643         1.887         2.525       -18.932   2.660   1.828   9.023
VACS 2018.6064        -0.500        -6.817        11.206   0.835   0.880   3.788
VALD 2006.2998         0.263        -1.462         6.174   0.824   0.599   2.509
VALD 2009.4647        -0.677         2.221         8.896   0.829   0.612   2.517
VALE 2004.4189         0.970         3.844         2.652   1.326   1.095   4.340
VALE 2005.5909        -6.083         0.331        -1.934   1.332   1.100   4.342
VALE 2010.8776         4.909         3.732        -2.518   1.405   1.163   4.612
VALE 2014.8421         2.325        -0.956        -4.464   0.992   0.819   3.160
VALE 2018.6119        -1.272        -1.364         7.395   0.917   0.750   2.901
VALP 2001.2868        -5.336         6.723        -3.994   1.999   1.807   7.381
VALP 2008.5955       -16.027        22.304        10.953   5.451   5.138  20.542
VALP 2010.1574        -6.949       -82.278      -141.746   2.088   1.992   7.879
VALP 2010.3409         9.243        -8.602        -1.765   2.282   2.177   8.626
VALP 2010.9624         5.567        -7.268        -4.218   1.646   1.566   6.251
VALP 2011.9179         3.027        -3.954        -3.570   1.687   1.628   6.540
VALP 2012.2929        -7.711        -2.441         2.504   1.801   1.747   7.070
VALP 2012.8925         4.092        -2.639        -3.202   1.493   1.439   5.844
VALP 2014.6448        -4.357        -2.624         6.171   1.427   1.350   5.386
